id user city phone
1 test Moscow 1234123
2 test2 Saint-P 1232121
3 test3 Tver 4352124
4 test4 Milan 7990923
5 test5 Moscow 908214
6 test6 Moscow 908215
7 test7 Moscow 908216
8 test8 Moscow 908217
9 test9 Milan 7990928
10 test10 Milan 7990913
11 test11 Milan 7990523
12 test12 Saint-P 1232122
13 test13 Saint-P 1232123
14 test14 Saint-P 1232124
15 test15 Moscow 5464681
16 test16 Milan 5464481
17 test17 Saint-P 5464281
18 test18 Tver 5464081
19 test19 Kirov 5463881
20 test20 Kirov 5463681
21 test21 Kirov 5463481
22 test22 Kirov 5463281
23 test23 Kirov 5463081
24 test24 Kirov 5462881
25 test25 Kirov 5462681
26 test26 Kirov 5462481
27 test27 Kirov 5462281
28 test28 Kirov 5462081
29 test29 Kirov 5461881
30 test30 Kirov 5461681
31 test31 Kirov 5461481
32 test32 New-York 5461281
33 test33 Moscow 5461081
34 test34 Milan 5460881
35 test35 Saint-P 5460681
36 test36 Tver 5460481
37 test37 Kirov 5460281
38 test38 New-York 5460081
39 test39 Moscow 5459881
40 test40 Milan 5459681
41 test41 Saint-P 5459481
42 test42 Tver 5459281
43 test43 Kirov 5459081
44 test44 New-York 5458881
45 test45 Moscow 5458681
46 test46 Milan 5458481
47 test47 Saint-P 5458281
48 test48 Tver 5458081
49 test49 Kirov 5457881
50 test50 New-York 5457681
51 test51 Moscow 5457481
52 test52 Milan 5457281
53 test53 Saint-P 5457081
54 test54 Tver 5456881
55 test55 Kirov 5456681
56 test56 New-York 5456481
57 test57 Moscow 5456281
58 test58 Milan 5456081
59 test59 Saint-P 5455881
60 test60 Tver 5455681
61 test61 Kirov 5455481
62 test62 New-York 5455281
63 test63 Moscow 5455081
64 test64 Milan 5454881
65 test65 Saint-P 5454681
66 test66 Tver 5454481
67 test67 Kirov 5454281
68 test68 New-York 5454081
69 test69 Moscow 5453881
70 test70 Milan 5453681
71 test71 Saint-P 5453481
72 test72 Tver 5453281
73 test73 Kirov 5453081
74 test74 New-York 5452881
75 test75 Moscow 5452681
